Num,BEARID,Sex,Date,Time,Lat,Lon
294,1130,F,20050725,4:00:00,68.7626,-134.0955
295,1130,F,20050725,8:00:00,68.7264,-134.1126
296,1130,F,20050725,12:00:00,68.7076,-134.0942
297,1130,F,20050725,16:00:00,68.6911,-134.033
298,1130,F,20050725,20:01:00,68.6772,-134.0397
299,1130,F,20050727,8:01:00,68.67,-133.9951
300,1130,F,20050727,12:01:00,68.6528,-133.9691
301,1130,F,20050727,16:00:00,68.6522,-133.962
302,1130,F,20050727,20:00:00,68.6523,-133.9638
303,1130,F,20050728,0:01:00,68.6523,-133.9637
304,1130,F,20050728,12:01:00,68.6731,-134.1282
305,1130,F,20050728,16:00:00,68.6796,-134.1312
306,1130,F,20050728,20:01:00,68.6806,-134.1308
307,1130,F,20050729,0:00:00,68.6803,-134.1298
308,1130,F,20050729,8:01:00,68.6745,-134.1261
309,1130,F,20050729,12:01:00,68.6734,-134.1275
310,1130,F,20050729,16:00:00,68.6683,-134.0673
311,1130,F,20050729,20:01:00,68.6684,-134.0689
312,1130,F,20050730,0:01:00,68.6692,-134.0712
313,1130,F,20050730,12:01:00,68.6671,-134.1244
314,1130,F,20050730,20:00:00,68.6685,-134.1235
315,1130,F,20050731,0:00:00,68.669,-134.1237
316,1130,F,20050801,4:01:00,68.7001,-134.1999
317,1130,F,20050801,8:00:00,68.7,-134.1796
318,1130,F,20050801,16:01:00,68.7113,-134.1892
319,1130,F,20050801,20:00:00,68.7113,-134.1893
320,1130,F,20050802,0:01:00,68.7106,-134.1914
321,1130,F,20050803,8:01:00,68.6911,-134.2141
322,1130,F,20050803,12:00:00,68.6782,-134.1869
323,1130,F,20050803,16:01:00,68.6819,-134.1546
324,1130,F,20050803,20:00:00,68.6748,-134.1554
325,1130,F,20050804,0:00:00,68.6748,-134.1556
326,1130,F,20050804,16:01:00,68.6574,-134.1311
327,1130,F,20050804,20:00:00,68.6624,-134.1452
328,1130,F,20050805,0:01:00,68.6625,-134.1452
329,1130,F,20050805,4:02:00,68.6638,-134.1425
330,1130,F,20050805,8:00:00,68.6813,-134.1483
331,1130,F,20050805,12:00:00,68.6761,-134.1851
332,1130,F,20050805,16:02:00,68.6804,-134.1662
333,1130,F,20050805,20:00:00,68.6744,-134.1636
334,1130,F,20050806,0:00:00,68.6745,-134.1637
335,1130,F,20050806,8:01:00,68.6557,-134.1696
336,1130,F,20050806,12:00:00,68.655,-134.1685
337,1130,F,20050806,16:01:00,68.6511,-134.1462
338,1130,F,20050806,20:00:00,68.6516,-134.1321
339,1130,F,20050807,0:01:00,68.6516,-134.1322
340,1130,F,20050808,20:00:00,68.595,-134.0357
341,1130,F,20050811,8:00:00,68.6414,-134.1436
342,1130,F,20050811,12:00:00,68.6502,-134.1724
343,1130,F,20050811,16:01:00,68.6662,-134.2037
344,1130,F,20050812,0:01:00,68.6639,-134.1992
345,1130,F,20050812,8:01:00,68.6748,-134.1926
346,1130,F,20050812,12:01:00,68.6753,-134.1967
347,1130,F,20050812,16:00:00,68.6755,-134.1843
348,1130,F,20050812,20:00:00,68.6792,-134.1678
349,1130,F,20050813,0:01:00,68.6791,-134.168
350,1130,F,20050813,20:00:00,68.652,-134.1602
351,1130,F,20050814,0:02:00,68.652,-134.1597
352,1130,F,20050815,16:00:00,68.7093,-134.1442
353,1130,F,20050815,20:01:00,68.6992,-134.1296
354,1130,F,20050816,0:01:00,68.6993,-134.1294
355,1130,F,20050816,8:00:00,68.678,-134.131
356,1130,F,20050816,12:00:00,68.6746,-134.1314
357,1130,F,20050816,16:01:00,68.6773,-134.1312
358,1130,F,20050816,20:00:00,68.6784,-134.1262
359,1130,F,20050817,0:00:00,68.6785,-134.1261
360,1130,F,20050818,4:01:00,68.6744,-134.1256
361,1130,F,20050818,8:01:00,68.6718,-134.1064
362,1130,F,20050818,12:00:00,68.6716,-134.107
363,1130,F,20050818,16:01:00,68.6749,-134.1284
